time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.46,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.999788,0.000000,0.000000,10.981657,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0
0.47,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.994726,0.000000,0.000000,10.980852,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0
0.48,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.989556,0.000000,0.000000,10.980029,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0
0.49,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.984277,0.000000,0.000000,10.979189,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0
0.50,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.978890,0.000000,0.000000,10.978331,0,0,1,0,0,0,0,0,0,0,0,51,0,0,0
0.51,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.973394,0.000000,0.000000,10.977457,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0
0.52,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.967790,0.000000,0.000000,10.976565,0,0,1,0,0,0,0,0,0,0,0,53,0,0,0
0.53,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.962077,0.000000,0.000000,10.975655,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0
0.54,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.956256,0.000000,0.000000,10.974729,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0
0.55,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.950326,0.000000,0.000000,10.973785,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0
0.56,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.944288,0.000000,0.000000,10.972824,0,0,1,0,0,0,0,0,0,0,0,57,0,0,0
0.57,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.938142,0.000000,0.000000,10.971846,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0
0.58,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.931888,0.000000,0.000000,10.970851,0,0,1,0,0,0,0,0,0,0,0,59,0,0,0
0.59,-1187941.707000,-6195292.715000,940001.857300,-485.508484,-88.619319,621.403600,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.925525,0.000000,0.000000,10.969838,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0
0.60,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.919054,0.000000,0.000000,10.968808,0,0,1,0,0,0,0,0,0,0,0,61,0,0,0
0.61,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.912474,0.000000,0.000000,10.967761,0,0,1,0,0,0,0,0,0,0,0,62,0,0,0
0.62,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.905787,0.000000,0.000000,10.966697,0,0,1,0,0,0,0,0,0,0,0,63,0,0,0
0.63,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.898991,0.000000,0.000000,10.965615,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0
